2019-11-22 23:56:29
1995-05-20 14:23:32
1989-04-12 15:46:58
\N
2023-10-21 18:47:20
2028-11-27 11:54:06
2024-05-24 08:35:07
2018-08-31 06:37:29
1988-07-16 11:27:58
\N
2019-05-21 14:05:32
1972-12-12 17:18:35
1975-05-07 20:40:36
2022-08-11 01:53:24
1975-06-27 06:30:54
2004-10-26 08:55:08
1983-05-14 14:09:40
2015-06-20 19:45:28
1978-02-17 18:56:29
\N
1970-12-04 03:07:47
1977-03-22 20:07:06
2032-10-28 08:54:31
2004-03-02 03:48:12
1992-10-29 14:58:09
2021-05-05 04:23:51
2025-06-25 04:35:11
2036-07-15 17:51:38
1981-03-10 04:19:35
2012-12-04 14:54:46
1996-02-02 03:31:30
1992-12-31 17:03:30
2003-02-03 01:52:27
2008-12-15 07:45:51
1994-11-19 10:30:45
2036-09-20 14:55:59
2034-10-21 02:30:42
2019-11-16 04:28:11
1995-01-23 10:57:11
1974-10-11 12:47:13
2027-02-26 14:37:11
2027-08-08 15:47:57
2037-08-30 20:59:33
2026-01-08 15:51:53
2023-09-18 18:28:37
2012-03-07 16:24:13
2011-08-29 06:58:48
1979-11-06 20:58:13
2033-09-25 22:05:01
1986-06-08 13:20:20
2020-01-13 13:46:46
2015-09-19 08:06:45
2035-11-16 03:56:45
1985-11-12 00:48:10
2002-05-26 16:15:59
2002-01-30 05:39:04
1980-01-26 21:11:01
2037-03-23 18:57:40
2016-02-23 06:28:28
2023-04-21 07:09:17
2033-04-11 09:35:47
1985-09-09 07:08:00
1993-01-29 12:02:01
2015-06-28 00:32:50
2036-04-06 23:06:16
2031-12-08 02:57:27
2014-02-26 08:50:33
1994-01-23 18:40:40
2019-01-27 12:51:38
1978-08-01 19:34:22
1979-05-21 00:37:59
2022-12-12 09:39:35
\N
\N
2007-10-16 01:36:43
\N
2037-05-17 12:58:39
2034-08-14 06:53:03
2014-12-20 05:14:10
2033-03-13 04:02:08
2010-10-03 04:40:02
\N
1992-12-23 15:03:29
2029-05-15 20:25:02
1993-07-17 12:19:17
2007-11-06 13:47:39
2024-10-22 09:53:23
2019-03-02 06:23:25
2026-07-24 05:56:20
1973-03-29 14:18:24
2006-06-02 14:02:34
2032-06-11 12:27:36
1990-01-28 09:31:29
2019-06-16 13:35:03
1970-04-21 17:47:47
2012-09-17 17:55:57
1993-10-06 06:30:39
1993-02-24 06:21:38
2014-12-07 16:55:11
2018-09-17 01:49:01
2015-05-22 22:16:13
1983-01-19 12:17:35
1978-11-08 11:25:40
\N
2021-06-01 00:29:46
1970-11-19 07:37:36
\N
2030-06-12 14:52:12
2035-08-11 10:49:02
2021-01-31 18:40:02
\N
1996-06-25 02:58:13
1974-11-28 21:33:44
1989-04-28 16:52:33
1998-07-17 01:40:26
2029-09-14 08:15:03
2010-01-06 05:20:44
2013-05-04 09:43:11
\N
2023-10-03 19:34:51
1998-02-06 07:51:41
1984-07-16 04:20:43
2008-01-11 13:20:32
2015-06-23 20:30:08
2026-04-02 13:50:55
2021-11-26 00:44:30
2012-07-09 06:13:26
1975-01-07 03:29:43
2022-12-04 00:19:51
2013-01-22 05:11:23
2001-02-13 20:48:53
2001-11-20 12:52:42
2008-12-27 09:41:18
2030-07-05 03:45:21
1970-07-22 16:13:59
2037-07-11 06:19:58
2034-12-24 17:17:55
2022-04-04 18:28:12
2018-03-24 19:58:59
2037-03-25 03:25:07
1972-06-24 06:50:23
2034-08-15 23:00:13
\N
2030-01-12 03:52:47
2000-08-15 21:13:06
\N
2034-07-25 15:36:11
2030-04-06 12:36:08
2003-08-22 07:56:23
2012-04-17 23:32:03
\N
1992-11-30 15:23:39
2017-03-31 21:20:05
2004-06-19 04:44:09
1974-02-07 22:48:19
1992-11-02 21:44:28
2006-07-03 02:17:10
2030-09-03 23:12:24
1989-12-15 12:38:57
1992-05-03 05:47:43
1981-05-05 23:17:09
1983-06-04 15:27:41
2010-08-13 02:04:03
\N
2022-06-15 18:11:40
2011-03-10 06:54:54
1973-11-06 20:57:42
1998-03-22 01:14:59
1992-07-20 02:45:54
2022-01-15 22:51:42
2022-05-03 01:00:42
1972-06-08 04:29:29
1976-10-27 13:41:28
2023-12-13 14:36:19
2027-08-01 22:25:02
2009-05-04 23:08:45
2021-03-19 04:50:50
2025-04-09 01:44:02
1988-07-28 12:37:17
2023-07-31 03:40:05
2003-07-25 15:31:07
\N
1995-12-12 00:32:35
1992-04-19 13:11:45
1997-08-20 18:05:35
2028-01-13 23:15:08
1980-04-18 01:52:35
\N
2030-03-08 18:46:10
2000-03-22 20:06:36
1987-03-17 16:17:06
2008-03-10 17:47:39
1982-04-02 02:54:56
1970-01-29 20:42:39
2032-03-28 08:00:44
1991-10-03 23:53:40
\N
\N
\N
2035-07-02 10:24:10
1988-11-27 15:46:42
2034-08-29 20:23:26
2004-11-29 20:12:43
\N
2013-08-28 12:21:58
1997-04-06 17:52:22
1994-10-12 01:33:40
2027-06-18 15:55:22
1971-01-10 01:33:07
2035-02-23 17:46:27
2036-10-25 17:10:28
2033-06-29 00:39:40
\N
2028-07-29 17:30:25
2003-03-18 22:48:37
1994-11-29 23:45:32
2001-10-08 23:45:59
2019-03-10 17:27:33
2022-05-19 13:23:46
1971-07-13 09:34:22
1979-07-25 16:59:06
1980-11-27 09:19:23
2030-02-20 16:06:27
1973-01-02 01:03:41
1992-12-20 06:10:45
2034-03-04 11:45:10
\N
2036-11-27 23:30:22
\N
2023-09-22 12:19:21
2023-07-13 09:06:09
1996-02-13 22:14:02
1974-02-11 22:30:58
1996-08-07 17:38:16
1998-06-13 06:07:40
2035-04-21 12:38:59
1996-03-04 02:39:50
2019-05-04 00:14:12
2024-06-01 01:09:47
2007-02-20 05:16:45
2003-07-29 17:47:53
2000-07-13 13:23:16
2011-09-08 23:54:39
2019-06-10 23:26:01
1975-02-25 03:14:19
2002-01-16 03:36:47
\N
1986-04-08 15:49:11
1986-03-08 16:30:21
2019-06-21 06:31:21
1988-09-19 09:46:53
2035-11-30 17:48:40
1986-11-27 23:07:33
2037-03-10 09:30:58
2030-07-15 03:01:28
1988-06-29 18:48:39
\N
1980-04-23 10:20:37
2020-01-19 18:03:26
2012-09-14 23:38:14
1983-12-28 11:12:46
1987-02-10 00:39:00
