\N
2002-08-30 15:27:57 GMT
1997-11-16 06:01:36 GMT-2
\N
2010-04-02 01:21:20 GMT+2
2019-09-21 05:54:01 GMT+6
1978-03-04 09:31:20 GMT-9
1992-11-08 19:54:37 GMT-4
2002-02-11 19:06:34 GMT-1
2012-06-06 18:35:22 GMT+3
2012-11-23 22:44:32 GMT+3
1997-09-27 12:43:45 GMT-2
1972-12-18 04:24:22 GMT-11
\N
2028-09-29 22:06:36 GMT+9
1976-03-31 15:03:19 GMT-10
1996-06-26 06:20:33 GMT-3
2014-07-06 05:37:36 GMT+4
2032-05-21 18:59:04 GMT+10
2018-12-18 10:59:54 GMT+3
1986-02-15 10:47:42 GMT-6
1974-06-02 17:04:29 GMT-10
2020-11-03 05:11:44 GMT+6
2024-09-29 08:51:37 GMT+7
1996-07-03 02:47:04 GMT-3
1973-02-11 11:17:51 GMT-11
2019-12-02 01:36:35 GMT+6
2035-09-04 07:23:02 GMT+11
\N
2018-05-16 21:07:23 GMT+5
\N
2030-05-04 03:37:48 GMT+9
2002-10-27 17:43:22 GMT
2036-03-04 08:06:10 GMT+11
2002-10-29 03:21:13 GMT
2000-06-22 14:23:04 GMT-1
1981-01-01 00:15:56 GMT-8
2001-12-31 12:30:28 GMT-1
2003-09-25 04:51:05 GMT
\N
2016-11-04 04:29:31 GMT+5
2026-02-23 00:38:02 GMT+8
\N
2033-10-15 07:38:35 GMT+10
2003-07-29 03:55:56 GMT
1998-10-09 12:06:21 GMT-2
2006-04-02 07:46:45 GMT+1
1970-06-06 10:31:07 GMT-12
2015-02-06 12:13:46 GMT+4
2004-06-23 06:55:31 GMT+0
2015-12-08 00:58:12 GMT+4
2024-06-26 14:46:31 GMT+7
1997-11-07 07:28:15 GMT-2
\N
1992-11-16 02:10:16 GMT-4
\N
1996-11-09 19:05:11 GMT-3
2010-09-12 13:54:34 GMT+2
2012-10-17 04:03:22 GMT+3
2035-09-05 02:13:28 GMT+11
1998-07-19 07:49:42 GMT-2
1973-11-11 02:53:33 GMT-11
1992-11-15 01:08:33 GMT-4
2032-04-22 09:42:32 GMT+10
2031-09-14 17:56:28 GMT+10
2005-03-25 17:37:54 GMT+0
