1748 days 11:26:21
-2771 days -11:53:23
-6230 days -20:26:04
8945 days 14:56:37
3581 days 23:33:20
199 days 21:21:23
\N
\N
-3568 days -06:07:25
-3738 days -10:16:35
1798 days 04:44:12
10847 days 22:03:35
-9527 days -15:38:39
9648 days 10:24:38
2256 days 12:07:24
-4327 days -18:09:39
-10857 days -13:31:07
-5953 days -22:31:57
6040 days 10:40:15
10316 days 08:23:28
-6639 days -19:43:47
-8066 days -00:23:40
2249 days 15:40:53
10792 days 15:10:06
-6302 days -16:08:38
-12058 days -02:55:05
-5738 days -10:39:26
-10108 days -21:09:51
-58 days -02:15:25
-12240 days -03:38:13
-59 days -11:53:16
799 days 02:04:53
7911 days 23:12:01
242 days 03:57:29
-390 days -13:23:08
-5179 days -18:01:34
-8577 days -17:10:05
-11369 days -02:10:38
-332 days -12:27:59
1421 days 05:21:36
-1310 days -17:18:48
11773 days 16:56:50
-4543 days -00:45:49
-662 days -15:27:34
-4847 days -13:30:15
-7971 days -06:18:34
1757 days 09:59:42
3574 days 17:17:41
2119 days 23:22:46
-2935 days -00:26:37
-3700 days -15:35:25
-12058 days -21:45:31
1503 days 09:38:15
10519 days 23:34:24
3575 days 18:19:24
-10828 days -04:14:35
-10607 days -12:28:31
-938 days -02:09:57
3453 days 17:25:05
\N
-548 days -16:15:50
-2594 days -09:39:39
9024 days 05:44:35
3370 days 21:44:34
5502 days 15:10:21
-11567 days -18:48:51
-8329 days -12:27:53
-6252 days -20:27:48
9289 days 07:37:58
8992 days 06:37:03
-394 days -20:24:39
-7805 days -00:20:59
-12405 days -02:00:04
11065 days 23:25:32
-5991 days -05:00:15
-2667 days -22:58:04
7340 days 03:25:50
-3432 days -02:02:37
6979 days 12:44:26
8861 days 12:43:57
10377 days 06:21:51
-1995 days -03:16:36
-136 days -20:25:24
4901 days 00:01:21
-2662 days -17:36:30
-10533 days -00:09:32
90 days 15:09:55
8068 days 00:10:48
-10598 days -23:22:17
10085 days 00:31:05
-8281 days -13:41:52
3990 days 05:29:52
-8972 days -12:32:59
-2321 days -22:15:46
6416 days 13:43:59
7215 days 15:02:19
2076 days 01:43:17
-3553 days -07:10:15
8218 days 00:01:00
-5766 days -19:25:21
7727 days 10:36:16
3414 days 01:24:30
-8957 days -15:29:24
7902 days 12:30:47
-1183 days -04:35:24
10302 days 09:31:47
6163 days 06:46:15
-10350 days -16:27:57
1994 days 09:38:44
7490 days 03:19:36
4127 days 01:50:41
\N
-4752 days -00:03:05
9072 days 06:11:14
5565 days 12:40:05
11477 days 07:08:16
155 days 08:17:54
-10799 days -21:17:31
6978 days 06:44:44
-11813 days -04:32:46
1322 days 23:25:33
-4172 days -07:54:00
-6942 days -21:56:44
1335 days 21:19:11
523 days 18:08:28
220 days 19:05:42
-1801 days -17:12:44
9763 days 05:23:55
-10965 days -20:16:30
6490 days 09:05:30
-11980 days -18:36:02
2954 days 00:41:14
-7538 days -14:38:35
-2728 days -06:27:30
-4375 days -16:56:38
-5275 days -17:22:29
-12473 days -22:15:51
\N
2846 days 01:22:08
8534 days 23:36:42
10552 days 08:10:01
1321 days 07:26:00
-3600 days -00:48:35
7951 days 17:51:17
183 days 06:52:48
-8472 days -18:01:29
-936 days -12:03:46
5467 days 14:23:59
-8553 days -02:53:57
-11491 days -03:21:12
-10648 days -02:26:43
-2966 days -06:58:23
-12431 days -06:22:30
-9162 days -11:37:47
2698 days 22:29:45
4416 days 08:44:27
482 days 16:02:41
-9629 days -22:39:29
10917 days 12:49:36
-3495 days -07:20:56
